UPI Remitter Banks,Year,Month,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
Saraswat Bank,2023,1,16.14,95.60%,3.84%,0.55%,0.05,74.67%
Kerala Gramin Bank,2023,1,14.62,88.71%,10.47%,0.82%,0.08,86.36%
ESAF Small Finance Bank Ltd,2023,1,13.53,82.67%,16.20%,1.12%,0.05,84.62%
Rajasthan Marudhara Gramin Bank,2023,1,13.29,80.76%,11.92%,7.32%,0.13,29.85%
Sarva Haryana Gramin Bank,2023,1,10.72,79.36%,11.31%,9.33%,0.1,49.73%
RBL,2023,1,10.64,90.93%,7.44%,1.63%,0.07,72.58%
Andhra Pragathi Grameena Bank,2023,1,9.99,83.50%,13.64%,2.86%,0.13,14.05%
Baroda U.P. Bank,2023,1,9.71,79.21%,11.93%,8.86%,0.15,35.44%
Baroda Rajasthan Kshetriya Gramin Bank,2023,1,8.11,81.15%,9.94%,8.91%,0.12,29.79%
State Bank of India,2024,1,3128.97,95.62%,4.19%,0.19%,11.58,96.85%
HDFC Bank,2024,1,1040.25,96.49%,3.51%,0.00%,3.34,98.84%
Bank of Baroda,2024,1,781.72,95.28%,4.68%,0.04%,2.71,98.54%
Union Bank of India,2024,1,753.66,94.51%,4.34%,1.15%,7.16,46.76%
Punjab National Bank,2024,1,618.95,94.78%,4.95%,0.27%,2.61,88.58%
Kotak Mahindra Bank,2024,1,600.83,93.64%,5.19%,1.17%,2.08,89.49%
Canara Bank,2024,1,572.16,94.18%,5.38%,0.44%,3.02,85.98%
Axis Bank,2024,1,559.49,96.11%,3.58%,0.30%,2.66,60.21%
ICICI Bank,2024,1,547.55,96.59%,3.32%,0.08%,1.64,95.72%
Paytm Payments Bank,2024,1,410.06,96.30%,3.70%,0.01%,0.87,98.11%
Bank of India,2024,1,389.29,95.33%,4.59%,0.08%,1.48,91.49%
Indian Bank,2024,1,348.89,95.15%,4.47%,0.37%,1.51,84.37%
Airtel Payments Bank,2024,1,337.05,89.95%,8.98%,1.07%,1.93,69.90%
India Post Payment Bank,2024,1,265.13,82.66%,12.20%,5.14%,1.67,54.81%
Federal Bank,2024,1,185.9,95.53%,4.28%,0.19%,0.65,93.72%
Central Bank of India,2024,1,178.41,85.44%,9.38%,5.18%,4.29,72.15%
Indian Overseas Bank,2024,1,165.09,94.28%,4.41%,1.31%,0.99,90.36%
UCO Bank,2024,1,152.41,88.37%,7.47%,4.16%,2.33,40.45%
IDBI Bank,2024,1,141.57,92.73%,4.28%,2.98%,1.31,81.40%
Bank of Maharashtra,2024,1,136.29,94.42%,4.61%,0.97%,0.61,76.33%
IndusInd Bank,2024,1,125.63,93.06%,5.97%,0.97%,0.68,98.66%
Fino Payments Bank,2024,1,115.14,89.66%,9.41%,0.93%,0.63,67.81%
Karnataka Bank,2024,1,97.36,91.93%,7.49%,0.59%,0.42,77.55%
YES Bank,2024,1,93.47,94.92%,4.98%,0.10%,0.25,93.00%
IDFC First Bank,2024,1,73.92,94.20%,5.77%,0.03%,0.03,0.00%
Karur Vysya Bank,2024,1,59.56,94.12%,5.54%,0.34%,0.24,92.86%
Bandhan Bank,2024,1,49.22,87.51%,6.16%,6.32%,0.85,68.20%
South Indian Bank,2024,1,48.9,96.35%,3.55%,0.11%,0.14,95.97%
Jammu and Kashmir Bank,2024,1,44.46,91.55%,7.21%,1.24%,0.31,70.87%
Ujjivan Small Finance Bank,2024,1,38.33,92.75%,5.66%,1.59%,0.29,53.05%
AU Small Finance Bank,2024,1,37.48,95.19%,4.51%,0.29%,0.17,95.13%
Tri O Tech Solutions Private Limited,2024,1,36.62,100.00%,0.00%,0.00%,,
City Union Bank,2024,1,35.87,93.46%,6.23%,0.32%,0.13,94.30%
Tamilnad Mercantile Bank,2024,1,32.19,92.76%,6.99%,0.26%,0.11,92.37%
Punjab and Sind Bank,2024,1,30.87,93.14%,6.10%,0.76%,0.2,73.50%
Equitas Bank,2024,1,28.56,93.04%,6.96%,0.00%,0.11,97.83%
Standard Chartered,2024,1,26.21,97.18%,2.33%,0.50%,0.09,77.36%
Andhra Pradesh Grameena Vikas Bank,2024,1,25.95,86.69%,11.80%,1.51%,0.18,50%
DBS Bank,2024,1,24.57,95.78%,4.11%,0.11%,0.09,77.72%
Pragathi Krishna Gramin Bank,2024,1,24.49,81.75%,7.84%,10.41%,0.3,77.98%
Kerala Gramin Bank,2024,1,23.61,90.10%,5.94%,3.96%,0.25,67%
Maharashtra Gramin Bank,2024,1,22.84,84.76%,10.98%,4.26%,0.12,58.10%
Saraswat Bank,2024,1,21.62,94.60%,4.52%,0.87%,0.11,62.88%
ESAF Small Finance Bank Ltd,2024,1,20.91,88.57%,5.06%,6.37%,0.37,64%
Rajasthan Marudhara Gramin Bank,2024,1,20.02,88.02%,11.36%,0.63%,0.09,77%
Baroda U.P. Bank,2024,1,19.44,54.14%,9.55%,36.31%,1.89,27.81%
CITI Bank,2024,1,19.38,96.67%,3.07%,0.26%,0.07,99.19%
Fincare Small Finance Bank,2024,1,17.51,86.69%,12.38%,0.92%,0.09,86.11%
RBL,2024,1,15.89,82.78%,5.54%,11.68%,0.16,69.48%
Sarva Haryana Gramin Bank,2024,1,14.96,92.64%,6.89%,0.47%,0.11,60.36%
State Bank of India,2022,7,1709.44,92.06%,7.26%,0.68%,7.91,98.83%
HDFC Bank,2022,7,570.34,94.55%,5.37%,0.08%,2.44,98.77%
Bank of Baroda,2022,7,405.95,92.49%,6.45%,1.06%,2.25,90.55%
Union Bank of India,2022,7,391.0,92.15%,7.54%,0.31%,2.1,88.40%
ICICI Bank,2022,7,359.49,94.96%,4.66%,0.38%,1.71,89.64%
Axis Bank,2022,7,328.07,92.97%,6.05%,0.97%,1.41,75.12%
Paytm Payments Bank,2022,7,315.91,95.75%,4.20%,0.05%,0.95,97.56%
Punjab National Bank,2022,7,289.34,91.83%,7.17%,1.00%,2.23,84.58%
Canara Bank,2022,7,285.57,90.64%,7.89%,1.46%,2.75,86.45%
Kotak Mahindra Bank,2022,7,270.94,91.92%,5.50%,2.58%,3.38,93.26%
Bank of India,2022,7,220.54,93.85%,5.00%,1.14%,1.42,76.35%
Indian Bank,2022,7,162.24,93.56%,5.81%,0.62%,0.89,90.44%
Central Bank of India,2022,7,118.89,76.28%,11.99%,11.73%,5.9,44.99%
Federal Bank,2022,7,103.47,94.26%,5.60%,0.14%,0.44,98.74%
Airtel Payments Bank,2022,7,102.04,86.79%,10.77%,2.43%,1.34,77.32%
YES Bank,2022,7,92.32,94.86%,4.97%,0.17%,0.0,0.00%
IDBI Bank,2022,7,86.0,95.04%,4.23%,0.73%,0.52,91.46%
India Post Payment Bank,2022,7,84.67,79.18%,17.59%,3.23%,0.96,61.38%
Indian Overseas Bank,2022,7,81.55,93.44%,5.54%,1.02%,0.55,95.45%
Bank of Maharashtra,2022,7,77.46,93.20%,5.43%,1.36%,0.56,84.20%
UCO Bank,2022,7,70.69,92.80%,6.35%,0.84%,0.5,74.32%
Karnataka Bank,2022,7,57.65,81.72%,7.60%,10.68%,1.58,17.35%
IndusInd Bank,2022,7,56.37,93.04%,6.64%,0.33%,0.29,97.26%
IDFC First Bank,2022,7,42.82,92.75%,5.68%,1.57%,0.32,54.88%
Fino Payments Bank,2022,7,40.16,82.06%,14.63%,3.31%,0.57,61.82%
Karur Vysya Bank,2022,7,36.87,91.30%,7.43%,1.27%,0.21,89.21%
Bandhan Bank,2022,7,28.23,85.08%,12.44%,2.48%,0.26,77.34%
South Indian Bank,2022,7,26.24,92.36%,6.74%,0.90%,0.0,0.00%
Equitas Bank,2022,7,20.88,82.94%,15.50%,1.56%,0.14,85.58%
City Union Bank,2022,7,19.61,91.76%,7.19%,1.06%,0.0,0.00%
CITI Bank,2022,7,17.63,95.76%,4.06%,0.18%,0.0,0.00%
Ujjivan Small Finance Bank,2022,7,16.75,87.88%,8.39%,3.73%,0.19,64.85%
DBS Bank,2022,7,16.62,95.16%,4.60%,0.24%,0.0,0.00%
Standard Chartered,2022,7,16.55,95.63%,2.81%,1.56%,0.0,0.00%
Tamilnad Mercantile Bank,2022,7,16.46,89.24%,7.87%,2.88%,0.0,0.00%
AU Small Finance Bank,2022,7,15.99,93.31%,6.44%,0.26%,0.0,0.00%
Punjab and Sind Bank,2022,7,15.97,90.47%,9.37%,0.16%,0.01,0.00%
Andhra Pradesh Grameena Vikas Bank,2022,7,15.7,65.92%,24.61%,9.46%,0.0,0.00%
Maharashtra Gramin Bank,2022,7,15.5,55.41%,30.04%,14.55%,0.0,0.00%
Pragathi Krishna Gramin Bank,2022,7,15.08,85.77%,11.38%,2.85%,0.01,0.00%
Jammu and Kashmir Bank,2022,7,14.74,89.61%,8.06%,2.33%,0.0,0.00%
Saraswat Bank,2022,7,12.72,95.39%,4.19%,0.42%,0.0,0.00%
Rajasthan Marudhara Gramin Bank,2022,7,10.97,64.02%,24.95%,11.03%,0.01,0.00%
ESAF Small Finance Bank Ltd,2022,7,9.77,84.55%,13.31%,2.13%,0.01,0.00%
Kerala Gramin Bank,2022,7,9.6,87.07%,11.28%,1.65%,0.0,0.00%
Andhra Pragathi Grameena Bank,2022,7,9.17,78.15%,17.64%,4.21%,0.18,86.64%
Sarva Haryana Gramin Bank,2022,7,8.75,81.14%,10.97%,7.89%,0.01,0.00%
RBL,2022,7,7.99,89.82%,8.06%,2.12%,0.01,0.00%
Telangana Grameena bank,2022,7,7.27,64.67%,20.32%,15.00%,0.0,0.00%
Karnataka Vikas Grameena Bank,2022,7,6.78,83.41%,14.24%,2.34%,0.01,0.00%
State Bank of India,2023,7,2574.67,95.55%,4.27%,0.17%,8.675316,99.41%
HDFC Bank,2023,7,879.56,96.30%,3.59%,0.11%,2.233976,100.00%
Bank of Baroda,2023,7,645.14,94.64%,5.21%,0.15%,2.143761,99.73%
Union Bank of India,2023,7,616.05,95.63%,4.35%,0.01%,1.726157,100.00%
Punjab National Bank,2023,7,480.73,95.29%,4.47%,0.24%,1.605735,100.00%
ICICI Bank,2023,7,481.53,96.70%,3.27%,0.03%,1.303102,92.77%
Axis Bank,2023,7,462.2,96.34%,3.65%,0.01%,1.059541,100.00%
Kotak Mahindra Bank,2023,7,460.81,94.83%,5.13%,0.04%,1.303627,100.00%
Canara Bank,2023,7,454.62,94.32%,4.97%,0.71%,2.063598,99.39%
Paytm Payments Bank,2023,7,433.01,96.43%,3.55%,0.02%,0.623114,100.00%
Bank of India,2023,7,322.25,95.72%,4.14%,0.13%,0.868259,100.00%
Indian Bank,2023,7,276.75,93.27%,4.86%,1.86%,1.220299,100.00%
Airtel Payments Bank,2023,7,224.92,90.33%,8.55%,1.12%,0.222457,99.96%
India Post Payment Bank,2023,7,175.71,84.45%,11.40%,4.15%,0.788979,85.56%
Federal Bank,2023,7,154.12,95.07%,4.68%,0.25%,0.402231,100.00%
Central Bank of India,2023,7,154.1,89.55%,8.65%,1.80%,1.253073,100.00%
Indian Overseas Bank,2023,7,132.05,92.31%,4.50%,3.19%,0.977749,100.00%
UCO Bank,2023,7,120.45,94.51%,4.88%,0.61%,0.397799,100.00%
IDBI Bank,2023,7,118.46,95.57%,3.78%,0.65%,0.446276,99.98%
Bank of Maharashtra,2023,7,111.27,91.99%,6.38%,1.63%,0.388401,100.00%
IndusInd Bank,2023,7,97.54,94.25%,5.44%,0.31%,0.382963,99.16%
Fino Payments Bank,2023,7,90.8,79.40%,15.40%,5.21%,0.526504,64.03%
YES Bank,2023,7,85.79,95.53%,4.30%,0.17%,0.161788,100.00%
Karnataka Bank,2023,7,80.33,92.53%,5.69%,1.77%,0.198716,100.00%
Karur Vysya Bank,2023,7,50.34,92.87%,6.11%,1.02%,0.166862,100.00%
Bandhan Bank,2023,7,41.14,90.79%,9.16%,0.05%,0.144404,100.00%
South Indian Bank,2023,7,40.23,95.41%,4.49%,0.11%,0.076772,99.27%
IDFC First Bank,2023,7,60.28,93.93%,5.63%,0.43%,0.129183,99.79%
Jammu and Kashmir Bank,2023,7,31.04,91.74%,6.44%,1.82%,0.035887,99.71%
City Union Bank,2023,7,29.8,93.47%,6.29%,0.24%,0.084771,100.00%
Ujjivan Small Finance Bank,2023,7,29.03,93.93%,5.73%,0.34%,0.089636,100.00%
AU Small Finance Bank,2023,7,28.65,95.49%,4.39%,0.12%,0.098094,99.97%
Tamilnad Mercantile Bank,2023,7,25.91,94.17%,5.79%,0.04%,0.052471,100.00%
Equitas Bank,2023,7,25.64,90.10%,8.75%,1.14%,0.092811,98.98%
Standard Chartered,2023,7,25.48,96.92%,2.41%,0.68%,0.074502,100.00%
Punjab and Sind Bank,2023,7,25.31,89.04%,8.36%,2.60%,0.127147,100.00%
DBS Bank,2023,7,23.19,95.78%,3.98%,0.25%,0.049484,100.00%
Andhra Pradesh Grameena Vikas Bank,2023,7,20.75,84.92%,12.33%,2.75%,0.051766,100.00%
Pragathi Krishna Gramin Bank,2023,7,20.14,85.92%,10.66%,3.42%,0.052157,100.00%
CITI Bank,2023,7,19.1,95.95%,3.31%,0.75%,0.112173,100.00%
Maharashtra Gramin Bank,2023,7,19.04,79.69%,12.11%,8.20%,0.066891,99.96%
Kerala Gramin Bank,2023,7,18.76,91.27%,8.30%,0.43%,0.051573,99.70%
Saraswat Bank,2023,7,17.71,95.29%,3.55%,1.15%,0.056245,100.00%
Tri O Tech Solutions Private Limited,2023,7,16.79,100.00%,0.00%,0.00%,0.048366,100.00%
Rajasthan Marudhara Gramin Bank,2023,7,16.19,83.07%,12.32%,4.61%,0.0,
ESAF Small Finance Bank Ltd,2023,7,15.21,93.39%,5.61%,0.99%,0.053937,100.00%
Baroda U.P. Bank,2023,7,13.14,83.94%,8.79%,7.27%,0.038648,100.00%
Sarva Haryana Gramin Bank,2023,7,12.94,91.54%,6.82%,1.64%,0.09829,99.90%
RBL,2023,7,12.63,92.83%,6.14%,1.03%,0.045407,99.95%
Andhra Pragathi Grameena Bank,2023,7,12.2,75.58%,15.17%,9.25%,0.065589,97.24%
State Bank of India,2024,7,3912.83,94.55%,5.31%,0.14%,12.09,96.94%
HDFC Bank,2024,7,1214.73,95.21%,4.78%,0.00%,3.67,98.69%
Bank of Baroda,2024,7,954.81,92.35%,7.06%,0.59%,3.76,88.84%
Union Bank of India,2024,7,905.83,94.14%,5.76%,0.10%,3.33,74.06%
Punjab National Bank,2024,7,837.23,89.63%,10.27%,0.10%,3.21,93.14%
Kotak Mahindra Bank,2024,7,746.29,92.59%,7.22%,0.19%,2.58,78.21%
Axis Bank,2024,7,697.05,95.55%,4.45%,0.00%,1.68,97.33%
Canara Bank,2024,7,688.87,93.41%,6.23%,0.36%,3.78,70.71%
ICICI Bank,2024,7,629.64,96.15%,3.83%,0.02%,1.66,93.07%
Bank of India,2024,7,462.31,93.79%,5.40%,0.81%,2.36,66.06%
Indian Bank,2024,7,449.31,94.10%,5.88%,0.02%,1.27,94.42%
Airtel Payments Bank,2024,7,430.92,89.21%,10.65%,0.14%,1.61,93.76%
India Post Payment Bank,2024,7,336.13,84.74%,12.89%,2.38%,2.23,53.95%
Federal Bank,2024,7,214.6,94.25%,5.71%,0.04%,0.6,97.44%
Central Bank of India,2024,7,211.52,88.33%,11.36%,0.32%,1,89.37%
Indian Overseas Bank,2024,7,210.05,94.08%,5.68%,0.24%,0.78,91.89%
UCO Bank,2024,7,194.92,92.01%,7.30%,0.68%,1,78.83%
IDBI Bank,2024,7,161.72,93.74%,5.72%,0.54%,1.02,52.33%
IndusInd Bank,2024,7,161.53,92.09%,7.83%,0.09%,0.81,87.52%
Bank of Maharashtra,2024,7,155.62,92.94%,5.91%,1.15%,1.18,64.44%
Fino Payments Bank,2024,7,145.95,92.59%,7.23%,0.18%,0.68,78.50%
YES Bank,2024,7,123.36,94.10%,5.85%,0.05%,0.31,82.90%
Karnataka Bank,2024,7,113.52,92.56%,7.17%,0.27%,0.48,79.11%
IDFC First Bank,2024,7,87.5,93.27%,6.62%,0.11%,0.36,70.12%
Karur Vysya Bank,2024,7,71.96,93.18%,6.38%,0.44%,0.28,89.14%
The Jammu And Kashmir Bank,2024,7,68.27,89.99%,4.67%,5.34%,0.74,31.87%
Bandhan Bank,2024,7,63.78,93.27%,5.64%,1.10%,0.26,96.54%
The South Indian Bank Limited,2024,7,56.93,94.92%,5.06%,0.02%,0.23,81.02%
Tri O Tech Solutions Private Limited,2024,7,52.1,99.80%,0.20%,0.00%,-,
AU Small Finance Bank,2024,7,48.46,93.76%,6.23%,0.02%,0.18,93.22%
Ujjivan Small Finance Bank,2024,7,45.78,94.02%,5.70%,0.28%,0.28,59.89%
City Union Bank,2024,7,43.4,92.80%,6.94%,0.26%,0.12,90.14%
Punjab and Sind Bank,2024,7,40.75,91.88%,7.60%,0.52%,0.24,83.76%
Tamilnad Mercantile Bank,2024,7,40.33,91.64%,8.16%,0.20%,0.23,57.68%
Equitas Bank,2024,7,33.37,91.72%,7.51%,0.77%,0.15,81.82%
Kerala Gramin Bank,2024,7,31.93,92.26%,5.89%,1.85%,0.31,83.44%
Karnataka Gramin Bank,2024,7,28.68,89.64%,7.23%,3.13%,0.42,73.14%
Andhra Pradesh Grameena Vikas Bank,2024,7,27.69,85.15%,11.47%,3.38%,0.13,69%
DBS Bank,2024,7,27.67,93.99%,5.98%,0.03%,0.08,95.30%
Rajasthan Marudhara Gramin Bank,2024,7,25.58,79.63%,9.90%,10.47%,0.35,26.42%
Maharashtra Gramin Bank,2024,7,25.52,78.50%,10.43%,11.07%,0.18,34%
Standard Chartered,2024,7,25.11,97.04%,2.95%,0.01%,0.07,93.06%
ESAF Small Finance Bank Ltd,2024,7,24.06,94.84%,4.94%,0.22%,0.08,93.14%
Saraswat Bank,2024,7,23.62,94.54%,5.13%,0.33%,0.12,63%
Baroda U.P. Bank,2024,7,23.44,84.61%,9.14%,6.25%,0.58,19%
AU Small Finance Bank,2024,7,20.27,85.18%,14.37%,0.45%,0.08,91.52%
Sarva Haryana Gramin Bank,2024,7,20.25,90.64%,8.39%,0.96%,0.14,64.20%
Jio Payments Bank,2024,7,18.37,84.71%,13.55%,1.75%,0.21,94.31%
Andhra Pragathi Grameena Bank,2024,7,17.96,79.80%,12.21%,7.99%,0.08,60.11%
RBL,2024,7,17.66,90.29%,8.87%,0.84%,0.1,60.52%
State Bank of India,2022,6,1625.09,87.98%,6.96%,5.06%,13.07,84.61%
HDFC Bank,2022,6,529.76,94.44%,5.48%,0.08%,1.91,98.92%
Bank of Baroda,2022,6,383.61,92.40%,6.42%,1.17%,3.9,83.45%
Union Bank of India,2022,6,368.31,91.07%,7.50%,1.42%,3.17,65.94%
ICICI Bank,2022,6,343.52,94.84%,4.69%,0.47%,1.19,92.67%
Axis Bank,2022,6,309.01,94.74%,4.44%,0.81%,1.28,77.52%
Paytm Payments Bank,2022,6,307.3,95.64%,4.30%,0.06%,0.97,98.11%
Punjab National Bank,2022,6,274.44,93.08%,6.30%,0.62%,1.51,94.65%
Canara Bank,2022,6,267.83,90.84%,8.49%,0.67%,1.33,92.04%
Kotak Mahindra Bank,2022,6,251.49,93.80%,5.42%,0.78%,1.45,95.74%
Bank of India,2022,6,210.67,94.65%,5.11%,0.24%,0.92,94.42%
Indian Bank,2022,6,151.58,93.34%,6.09%,0.57%,0.63,93.35%
Central Bank of India,2022,6,111.89,88.47%,5.71%,5.82%,2.74,45.95%
Federal Bank,2022,6,96.37,93.17%,5.93%,0.90%,0.4,96.69%
Airtel Payments Bank,2022,6,90.81,86.71%,11.53%,1.76%,1.03,78.65%
India Post Payment Bank,2022,6,87.61,59.80%,30.90%,9.29%,1.78,36.51%
IDBI Bank,2022,6,81.74,95.01%,4.28%,0.71%,0.43,89.09%
Indian Overseas Bank,2022,6,76.9,93.23%,5.64%,1.13%,0.6,93.29%
Bank of Maharashtra,2022,6,73.73,93.88%,5.12%,1.00%,0.38,86.43%
YES Bank,2022,6,73.71,91.72%,7.85%,0.43%,0.2,0.00%
UCO Bank,2022,6,65.98,93.13%,6.26%,0.61%,0.43,76.01%
Karnataka Bank,2022,6,55.02,83.56%,6.95%,9.49%,1.24,13.85%
IndusInd Bank,2022,6,52.65,91.38%,7.97%,0.65%,0.24,93.25%
Fino Payments Bank,2022,6,41.21,66.16%,30.38%,3.46%,0.43,67.02%
IDFC First Bank,2022,6,38.9,91.48%,5.75%,2.78%,0.39,44.99%
Karur Vysya Bank,2022,6,35.43,88.81%,9.87%,1.32%,0.15,87.59%
Bandhan Bank,2022,6,27.4,79.51%,19.18%,1.31%,0.2,70.51%
South Indian Bank,2022,6,24.62,92.55%,6.06%,1.39%,0.17,95.31%
Equitas Bank,2022,6,19.63,80.09%,14.41%,5.50%,0.19,54.91%
City Union Bank,2022,6,18.76,90.71%,7.80%,1.49%,0.08,97.82%
CITI Bank,2022,6,16.78,94.68%,4.29%,1.03%,0.04,97.83%
Andhra Pradesh Grameena Vikas Bank,2022,6,16.62,57.71%,26.61%,15.68%,0.86,4.74%
Ujjivan Small Finance Bank,2022,6,16.55,78.84%,8.44%,12.72%,0.53,33.80%
DBS Bank,2022,6,15.97,95.26%,4.51%,0.23%,0.06,98.00%
Standard Chartered,2022,6,15.71,96.23%,2.91%,0.85%,0.1,93.20%
Maharashtra Gramin Bank,2022,6,15.47,62.03%,30.64%,7.34%,0.24,38.02%
Tamilnad Mercantile Bank,2022,6,15.15,91.78%,7.89%,0.34%,0.07,51.39%
AU Small Finance Bank,2022,6,14.75,92.86%,6.38%,0.76%,0.1,0.12%
Punjab and Sind Bank,2022,6,14.74,88.65%,10.05%,1.30%,0.1,73.94%
Jammu and Kashmir Bank,2022,6,14.49,82.17%,10.43%,7.40%,0.24,52.29%
Pragathi Krishna Gramin Bank,2022,6,14.22,85.56%,11.59%,2.85%,0.2,50.32%
Saraswat Bank,2022,6,12.07,95.01%,3.76%,1.24%,0.07,79.77%
Rajasthan Marudhara Gramin Bank,2022,6,10.16,66.27%,18.83%,14.89%,0.51,3.21%
ESAF Small Finance Bank Ltd,2022,6,9.76,77.62%,19.54%,2.84%,0.07,69.48%
Andhra Pragathi Grameena Bank,2022,6,9.28,70.20%,22.28%,7.52%,0.24,59.93%
Kerala Gramin Bank,2022,6,9.11,86.27%,12.11%,1.62%,0.07,57.57%
Sarva Haryana Gramin Bank,2022,6,8.27,79.00%,7.65%,13.35%,0.21,40.18%
RBL,2022,6,7.41,89.69%,8.95%,1.36%,0.04,83.50%
Telangana Grameena bank,2022,6,6.79,74.54%,21.67%,3.79%,0.15,19.01%
Karnataka Vikas Grameena Bank,2022,6,6.78,78.29%,18.22%,3.49%,0.1,45.45%
State Bank of India,2023,6,2415.09,95.62%,4.23%,0.14%,7.08,96.41%
HDFC Bank,2023,6,830.95,96.41%,3.49%,0.11%,2.22,95.48%
Bank of Baroda,2023,6,604.62,94.46%,5.36%,0.18%,1.84,91.10%
Union Bank of India,2023,6,581.94,95.29%,4.45%,0.26%,1.8,82.12%
ICICI Bank,2023,6,461.74,95.59%,3.11%,1.31%,2.53,91.21%
Punjab National Bank,2023,6,449.87,95.31%,4.24%,0.45%,1.85,94.69%
Kotak Mahindra Bank,2023,6,436.37,92.80%,4.85%,2.34%,1.35,72.73%
Canara Bank,2023,6,429.75,94.19%,4.86%,0.95%,2.45,82.16%
Axis Bank,2023,6,422.13,96.07%,3.88%,0.05%,1.08,84.01%
Paytm Payments Bank,2023,6,407.65,96.41%,3.59%,0.00%,0.58,97.07%
Bank of India,2023,6,303.65,95.96%,3.89%,0.15%,0.91,88.65%
Indian Bank,2023,6,254.86,94.91%,4.67%,0.42%,1.17,68.48%
Airtel Payments Bank,2023,6,205.13,89.26%,9.06%,1.68%,1.23,25.74%
India Post Payment Bank,2023,6,171.64,74.50%,10.55%,14.95%,3.24,39.13%
Federal Bank,2023,6,147.42,94.11%,5.17%,0.72%,0.46,82.38%
Central Bank of India,2023,6,146.77,88.61%,8.72%,2.67%,1.99,69.10%
Indian Overseas Bank,2023,6,121.04,94.91%,4.52%,0.57%,0.45,92.24%
IDBI Bank,2023,6,113.13,95.57%,3.67%,0.76%,0.52,90.90%
UCO Bank,2023,6,111.61,91.35%,5.18%,3.46%,1.15,39.34%
Bank of Maharashtra,2023,6,103.7,94.03%,5.09%,0.87%,0.47,67.71%
IndusInd Bank,2023,6,91.07,94.19%,5.57%,0.23%,0.33,90.29%
YES Bank,2023,6,87.16,96.03%,3.78%,0.20%,0.19,72.87%
Fino Payments Bank,2023,6,80.47,85.18%,13.57%,1.25%,0.26,88.93%
Karnataka Bank,2023,6,76.27,93.21%,5.09%,1.70%,0.18,88.81%
IDFC First Bank,2023,6,60.02,93.98%,5.59%,0.43%,0.24,66.61%
Karur Vysya Bank,2023,6,47.09,93.03%,6.88%,0.09%,0.11,92.10%
Bandhan Bank,2023,6,38.12,93.15%,5.44%,1.41%,0.28,58.31%
South Indian Bank,2023,6,38.08,95.79%,4.20%,0.01%,0.07,95.94%
Jammu and Kashmir Bank,2023,6,30.81,88.97%,7.02%,4.00%,0.31,40.85%
City Union Bank,2023,6,27.66,93.18%,6.25%,0.57%,0.08,94.82%
Ujjivan Small Finance Bank,2023,6,26.84,93.85%,5.74%,0.41%,0.11,67.18%
AU Small Finance Bank,2023,6,26.6,94.32%,4.63%,1.05%,0.19,96.80%
Equitas Bank,2023,6,24.45,90.40%,9.33%,0.26%,0.07,93.51%
Tamilnad Mercantile Bank,2023,6,23.94,94.02%,5.74%,0.25%,0.05,81.82%
Punjab and Sind Bank,2023,6,23.88,87.61%,9.61%,2.79%,0.24,49.60%
DBS Bank,2023,6,22.4,95.83%,3.95%,0.22%,0.07,82.03%
Standard Chartered,2023,6,21.93,97.40%,2.29%,0.31%,0.06,84.51%
Andhra Pradesh Grameena Vikas Bank,2023,6,20.7,79.23%,12.48%,8.29%,0.35,55.17%
Pragathi Krishna Gramin Bank,2023,6,18.72,86.69%,9.58%,3.73%,0.19,53.50%
CITI Bank,2023,6,18.54,94.07%,3.75%,2.18%,0.08,94.21%
Maharashtra Gramin Bank,2023,6,17.89,80.91%,10.75%,8.34%,0.16,26.11%
Kerala Gramin Bank,2023,6,17.62,89.73%,8.33%,1.95%,0.1,68.23%
Saraswat Bank,2023,6,17.31,95.04%,3.75%,1.21%,0.1,33.36%
Tri O Tech Solutions Private Limited,2023,6,14.99,100.00%,0.00%,0.00%,0.0,0.00%
Rajasthan Marudhara Gramin Bank,2023,6,14.55,82.55%,12.85%,4.60%,0.18,22.95%
ESAF Small Finance Bank Ltd,2023,6,14.37,91.91%,6.11%,1.98%,0.05,69.68%
Sarva Haryana Gramin Bank,2023,6,12.47,90.04%,6.89%,3.07%,0.08,48.50%
RBL,2023,6,12.07,92.58%,6.25%,1.17%,0.04,88.21%
Baroda U.P. Bank,2023,6,11.43,86.89%,9.19%,3.92%,0.15,29.40%
Andhra Pragathi Grameena Bank,2023,6,11.17,73.43%,21.36%,5.21%,0.1,24.44%
State Bank of India,2024,6,3738.0,94.82%,4.95%,0.22%,10.49,97.79%
HDFC Bank,2024,6,1191.85,95.43%,4.34%,0.23%,6.03,36.91%
Bank of Baroda,2024,6,912.47,93.28%,6.39%,0.33%,4.43,99.54%
Union Bank of India,2024,6,869.16,93.98%,5.74%,0.28%,3.33,70.38%
Punjab National Bank,2024,6,783.7,93.53%,6.07%,0.40%,3.12,76.21%
Kotak Mahindra Bank,2024,6,727.46,92.20%,6.93%,0.86%,2.68,95.04%
Canara Bank,2024,6,657.78,92.85%,6.43%,0.72%,2.57,97.38%
Axis Bank,2024,6,651.8,95.59%,4.40%,0.02%,1.92,79.47%
ICICI Bank,2024,6,620.66,96.19%,3.76%,0.05%,1.67,80.79%
Bank of India,2024,6,444.39,94.18%,5.51%,0.32%,1.6,60.95%
