Sr.No.,UPI Beneficiary Banks,Year,Month,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
50,Karnataka Vikas Grameena Bank,2023,1,3.98,98.50%,0.24%,1.10%,0.15%,
1,Paytm Payments Bank,2024,1,2851.38,99.90%,0.07%,0.03%,0.00%,
2,YES Bank,2024,1,2105.87,99.92%,0.04%,0.04%,0.01%,
3,State Bank of India,2024,1,1306.23,99.64%,0.18%,0.18%,0.04%,
4,Axis Bank,2024,1,1008.43,99.76%,0.18%,0.06%,0.10%,
5,ICICI Bank,2024,1,647.71,99.42%,0.54%,0.04%,0.02%,
6,HDFC Bank,2024,1,549.54,98.20%,1.76%,0.04%,0.01%,
7,Bank of Baroda,2024,1,336.93,99.80%,0.17%,0.03%,0.04%,
8,Union Bank of India,2024,1,324.67,99.00%,0.17%,0.84%,0.37%,
9,Federal Bank,2024,1,301.12,99.53%,0.34%,0.13%,0.01%,
10,Punjab National Bank,2024,1,271.75,99.49%,0.38%,0.13%,0.23%,
11,Canara Bank,2024,1,268.36,98.43%,1.30%,0.28%,0.17%,
12,Kotak Mahindra Bank,2024,1,236.42,98.61%,0.47%,0.92%,0.39%,
13,Indian Bank,2024,1,192.09,98.96%,0.77%,0.27%,0.10%,
14,Airtel Payments Bank,2024,1,184.67,99.03%,0.39%,0.58%,0.33%,
15,Bank of India,2024,1,179.8,99.64%,0.25%,0.11%,0.04%,
16,IndusInd Bank,2024,1,129.0,98.83%,0.54%,0.62%,0.10%,
17,India Post Payment Bank,2024,1,113.35,98.17%,0.38%,1.45%,0.16%,
18,Central Bank of India,2024,1,85.35,96.53%,0.50%,2.97%,1.21%,
19,Indian Overseas Bank,2024,1,76.93,98.86%,0.39%,0.75%,0.28%,
20,UCO Bank,2024,1,73.44,96.13%,0.63%,3.24%,0.65%,
21,RBL,2024,1,62.06,92.29%,0.36%,7.35%,0.26%,
22,IDBI Bank,2024,1,62.06,97.83%,0.43%,1.74%,0.40%,
23,Bank of Maharashtra,2024,1,53.88,98.92%,0.24%,0.84%,0.14%,
24,Fino Payments Bank,2024,1,45.27,97.49%,1.88%,0.62%,0.07%,
25,Karnataka Bank,2024,1,41.79,98.66%,0.81%,0.54%,0.08%,
26,IDFC First Bank,2024,1,38.32,97.78%,2.04%,0.18%,0.04%,
27,Karur Vysya Bank,2024,1,31.32,98.42%,1.32%,0.25%,0.04%,
28,South Indian Bank,2024,1,31.07,96.63%,3.23%,0.15%,0.02%,
29,Bandhan Bank,2024,1,28.56,94.91%,0.24%,4.85%,0.46%,
30,AU Small Finance Bank,2024,1,26.21,96.53%,3.24%,0.23%,0.04%,
31,Tamilnad Mercantile Bank,2024,1,20.54,99.60%,0.16%,0.24%,0.02%,
32,Ujjivan Small Finance Bank,2024,1,19.4,98.06%,0.85%,1.09%,0.41%,
33,City Union Bank,2024,1,18.79,97.08%,2.67%,0.25%,0.03%,
34,Jammu and Kashmir Bank,2024,1,18.46,99.06%,0.60%,0.35%,0.14%,
35,Tri O Tech Solutions Private Limited,2024,1,17.98,95.28%,4.12%,0.60%,0.26%,
36,Kerala Gramin Bank,2024,1,14.38,89.31%,0.24%,10.46%,0.88%,
37,Punjab and Sind Bank,2024,1,13.75,98.14%,1.24%,0.62%,0.62%,
38,Pragathi Krishna Gramin Bank,2024,1,13.28,84.28%,0.32%,15.40%,0.47%,
39,Equitas Bank,2024,1,12.96,97.83%,2.03%,0.13%,0.01%,
40,Andhra Pradesh Grameena Vikas Bank,2024,1,12.56,97.08%,1.26%,1.66%,0.28%,
41,One Mobikwik Systems Limited,2024,1,11.31,99.99%,0.00%,0.01%,0.00%,
42,Maharashtra Gramin Bank,2024,1,10.74,96.11%,0.28%,3.62%,0.33%,
43,ESAF Small Finance Bank Ltd,2024,1,10.37,95.16%,0.13%,4.71%,0.58%,
44,DBS Bank,2024,1,10.3,98.38%,1.56%,0.06%,0.06%,
45,Baroda U.P. Bank,2024,1,10.21,71.46%,0.61%,27.93%,8.74%,
46,CITI Bank,2024,1,10.02,99.87%,0.00%,0.13%,0.20%,
47,Rajasthan Marudhara Gramin Bank,2024,1,9.82,99.41%,0.30%,0.29%,0.10%,
48,Jio Payments Bank,2024,1,9.12,99.33%,0.31%,0.36%,0.31%,
49,Fincare Small Finance Bank,2024,1,7.98,95.71%,2.71%,1.57%,0.04%,
50,Andhra Pragathi Grameena Bank,2024,1,7.85,98.04%,0.47%,1.49%,0.22%,
1,Paytm Payments Bank,2022,7,1469.6,99.49%,0.49%,0.02%,0.00%,
2,YES Bank,2022,7,813.04,99.93%,0.03%,0.02%,0.02%,
3,State Bank of India,2022,7,802.56,99.30%,0.28%,0.31%,0.11%,
4,Axis Bank,2022,7,498.78,97.68%,1.07%,0.99%,0.25%,
5,ICICI Bank,2022,7,449.31,99.41%,0.39%,0.13%,0.07%,
6,HDFC Bank,2022,7,328.73,99.30%,0.62%,0.06%,0.02%,
7,Bank of Baroda,2022,7,214.14,98.62%,0.35%,0.91%,0.13%,
8,Union Bank of India,2022,7,206.94,99.57%,0.29%,0.10%,0.04%,
9,Canara Bank,2022,7,156.6,98.42%,0.51%,0.71%,0.36%,
10,Punjab National Bank,2022,7,147.86,98.23%,0.52%,0.81%,0.43%,
11,Federal Bank,2022,7,137.96,99.68%,0.24%,0.07%,0.00%,
12,Kotak Mahindra Bank,2022,7,131.98,97.89%,0.60%,1.02%,0.49%,
13,Bank of India,2022,7,121.89,98.63%,0.25%,0.97%,0.15%,
14,Indian Bank,2022,7,84.27,99.03%,0.23%,0.60%,0.14%,
15,Airtel Payments Bank,2022,7,75.84,98.00%,0.42%,1.08%,0.50%,
16,IndusInd Bank,2022,7,64.82,99.06%,0.56%,0.26%,0.12%,
17,Central Bank of India,2022,7,58.88,91.07%,0.96%,6.19%,1.78%,
18,IDBI Bank,2022,7,47.4,98.97%,0.52%,0.44%,0.06%,
19,Indian Overseas Bank,2022,7,45.41,99.02%,0.29%,0.43%,0.27%,
20,UCO Bank,2022,7,39.36,98.18%,0.70%,0.87%,0.25%,
21,India Post Payment Bank,2022,7,39.12,97.27%,0.52%,1.93%,0.28%,
22,Bank of Maharashtra,2022,7,37.57,98.29%,0.24%,1.02%,0.45%,
23,IDFC First Bank,2022,7,30.46,96.11%,1.96%,1.65%,0.28%,
24,Karnataka Bank,2022,7,29.07,90.60%,0.84%,6.62%,1.95%,
25,Karur Vysya Bank,2022,7,24.19,98.69%,0.44%,0.81%,0.06%,
26,South Indian Bank,2022,7,18.5,98.66%,0.58%,0.72%,0.05%,
27,Bandhan Bank,2022,7,18.16,97.07%,0.47%,2.31%,0.14%,
28,Fino Payments Bank,2022,7,15.3,94.89%,2.35%,2.28%,0.48%,
29,AU Small Finance Bank,2022,7,14.0,97.86%,1.87%,0.14%,0.13%,
30,CITI Bank,2022,7,13.54,99.42%,0.43%,0.07%,0.08%,
31,City Union Bank,2022,7,11.88,98.39%,0.76%,0.75%,0.10%,
32,Tamilnad Mercantile Bank,2022,7,10.64,97.26%,0.33%,2.13%,0.28%,
33,Equitas Bank,2022,7,10.33,96.37%,2.10%,1.35%,0.17%,
34,Ujjivan Small Finance Bank,2022,7,9.71,96.06%,0.31%,3.31%,0.32%,
35,Pragathi Krishna Gramin Bank,2022,7,8.73,97.83%,0.33%,1.23%,0.61%,
36,Punjab and Sind Bank,2022,7,8.19,99.59%,0.25%,0.12%,0.03%,
37,Andhra Pradesh Grameena Vikas Bank,2022,7,7.2,85.71%,7.43%,4.19%,2.67%,
38,DBS Bank,2022,7,6.85,97.66%,2.12%,0.18%,0.04%,
39,Maharashtra Gramin Bank,2022,7,6.74,77.95%,10.74%,9.35%,1.96%,
40,Jammu and Kashmir Bank,2022,7,6.67,97.77%,0.79%,1.37%,0.06%,
41,Kerala Gramin Bank,2022,7,6.41,98.37%,0.55%,0.65%,0.43%,
42,Saraswat Bank,2022,7,5.8,99.40%,0.20%,0.37%,0.03%,
43,ESAF Small Finance Bank Ltd,2022,7,5.62,98.52%,0.21%,1.02%,0.25%,
44,Rajasthan Marudhara Gramin Bank,2022,7,5.53,83.06%,8.62%,6.35%,1.97%,
45,RBL,2022,7,5.39,97.36%,1.50%,1.01%,0.13%,
46,Andhra Pragathi Grameena Bank,2022,7,5.07,96.28%,0.66%,1.98%,1.09%,
47,Sarva Haryana Gramin Bank,2022,7,4.85,82.68%,0.60%,16.15%,0.57%,
48,Baroda U.P. Bank,2022,7,4.47,93.01%,2.87%,3.44%,0.68%,
49,Baroda Rajasthan Kshetriya Gramin Bank,2022,7,4.01,92.51%,2.09%,4.84%,0.56%,
50,HSBC Bank,2022,7,3.79,97.79%,1.91%,0.21%,0.09%,
1,Paytm Payments Bank,2023,7,2331.83,99.82%,0.17%,0.01%,0.00%,
2,YES Bank,2023,7,1865.76,99.87%,0.02%,0.11%,0.03%,
3,State Bank of India,2023,7,1070.51,99.24%,0.18%,0.58%,0.06%,
4,Axis Bank,2023,7,688.05,99.89%,0.09%,0.02%,0.04%,
5,ICICI Bank,2023,7,627.95,99.79%,0.10%,0.12%,0.05%,
6,HDFC Bank,2023,7,510.54,99.27%,0.65%,0.08%,0.03%,
7,Bank of Baroda,2023,7,290.12,99.58%,0.25%,0.17%,0.14%,
8,Union Bank of India,2023,7,279.02,99.76%,0.15%,0.08%,0.03%,
9,Federal Bank,2023,7,229.06,99.66%,0.23%,0.11%,0.01%,
10,Canara Bank,2023,7,223.29,98.89%,0.43%,0.68%,0.23%,
11,Punjab National Bank,2023,7,222.99,99.37%,0.42%,0.20%,0.19%,
12,Kotak Mahindra Bank,2023,7,200.84,98.30%,1.48%,0.22%,0.06%,
13,Bank of India,2023,7,155.21,99.70%,0.22%,0.08%,0.03%,
14,Indian Bank,2023,7,149.29,98.54%,0.36%,1.10%,0.44%,
15,Airtel Payments Bank,2023,7,124.06,98.89%,0.38%,0.73%,0.46%,
16,IndusInd Bank,2023,7,96.57,99.32%,0.19%,0.49%,0.14%,
17,India Post Payment Bank,2023,7,78.07,97.79%,0.43%,1.78%,0.35%,
18,Central Bank of India,2023,7,76.44,98.38%,0.57%,1.06%,0.48%,
19,Indian Overseas Bank,2023,7,63.85,97.51%,0.31%,2.17%,0.83%,
20,UCO Bank,2023,7,57.89,98.86%,0.68%,0.47%,0.12%,
21,IDBI Bank,2023,7,54.7,99.09%,0.39%,0.52%,0.10%,
22,IDFC First Bank,2023,7,49.55,98.41%,1.00%,0.59%,0.21%,
23,Bank of Maharashtra,2023,7,44.04,98.21%,0.21%,1.58%,0.27%,
24,Fino Payments Bank,2023,7,41.98,95.42%,1.11%,3.47%,0.28%,
25,Karnataka Bank,2023,7,36.16,97.50%,0.72%,1.78%,0.17%,
26,Karur Vysya Bank,2023,7,28.69,98.69%,0.43%,0.88%,0.14%,
27,South Indian Bank,2023,7,26.01,99.71%,0.22%,0.06%,0.01%,
28,Bandhan Bank,2023,7,24.42,99.41%,0.09%,0.49%,0.05%,
29,RBL,2023,7,22.99,99.56%,0.30%,0.14%,0.08%,
30,AU Small Finance Bank,2023,7,20.3,98.32%,1.60%,0.08%,0.02%,
31,Tamilnad Mercantile Bank,2023,7,16.44,99.76%,0.15%,0.09%,0.02%,
32,City Union Bank,2023,7,16.17,98.67%,0.90%,0.43%,0.10%,
33,Ujjivan Small Finance Bank,2023,7,15.43,99.34%,0.30%,0.36%,0.16%,
34,Jammu and Kashmir Bank,2023,7,14.39,98.52%,0.32%,1.16%,0.11%,
35,Equitas Bank,2023,7,11.99,97.20%,2.08%,0.72%,0.08%,
36,Punjab and Sind Bank,2023,7,11.66,97.74%,0.18%,2.08%,0.24%,
37,Kerala Gramin Bank,2023,7,10.91,99.48%,0.20%,0.32%,0.26%,
38,CITI Bank,2023,7,10.78,99.85%,0.00%,0.15%,0.12%,
39,Pragathi Krishna Gramin Bank,2023,7,10.7,97.33%,0.35%,2.32%,0.62%,
40,Andhra Pradesh Grameena Vikas Bank,2023,7,9.66,97.69%,0.25%,2.05%,0.36%,
41,DBS Bank,2023,7,9.44,98.38%,1.25%,0.37%,0.15%,
42,Maharashtra Gramin Bank,2023,7,8.96,93.62%,0.46%,5.92%,0.49%,
43,Tri O Tech Solutions Private Limited,2023,7,8.46,93.56%,6.12%,0.32%,0.04%,
44,Baroda U.P. Bank,2023,7,8.28,93.30%,0.74%,5.97%,1.60%,
45,Rajasthan Marudhara Gramin Bank,2023,7,8.2,96.29%,0.45%,3.27%,0.29%,
46,ESAF Small Finance Bank Ltd,2023,7,8.14,99.27%,0.04%,0.69%,0.30%,
47,Andhra Pragathi Grameena Bank,2023,7,6.71,88.20%,0.43%,11.38%,0.31%,
48,Saraswat Bank,2023,7,6.64,98.11%,0.18%,1.72%,0.20%,
49,Sarva Haryana Gramin Bank,2023,7,6.08,98.26%,0.48%,1.26%,0.19%,
50,Baroda Rajasthan Kshetriya Gramin Bank,2023,7,5.45,92.90%,2.40%,4.70%,0.84%,
1,YES Bank,2024,7,5731.24,99.93%,0.01%,0.06%,0.01%,
2,State Bank of India,2024,7,1591.84,99.66%,0.11%,0.23%,0.04%,
3,Axis Bank,2024,7,1364.34,99.91%,0.09%,0.00%,0.01%,
4,HDFC Bank,2024,7,690.05,98.78%,0.98%,0.23%,0.03%,
5,ICICI Bank,2024,7,604.23,99.40%,0.51%,0.09%,0.03%,
6,Bank of Baroda,2024,7,455.61,99.44%,0.09%,0.47%,0.47%,
7,Federal Bank,2024,7,396.82,99.66%,0.25%,0.09%,0.00%,
8,Union Bank of India,2024,7,368.24,99.59%,0.12%,0.29%,0.08%,
9,Punjab National Bank,2024,7,334.33,99.53%,0.30%,0.18%,0.23%,
10,Canara Bank,2024,7,326.46,98.95%,0.83%,0.21%,0.17%,
11,Kotak Mahindra Bank,2024,7,284.52,99.33%,0.31%,0.36%,0.18%,
12,Airtel Payments Bank,2024,7,267.22,99.25%,0.34%,0.41%,0.05%,
13,Indian Bank,2024,7,247.02,99.12%,0.74%,0.13%,0.16%,
14,Bank of India,2024,7,212.52,98.47%,0.71%,0.82%,0.56%,
15,India Post Payment Bank,2024,7,145.2,98.01%,0.28%,1.71%,0.18%,
16,IndusInd Bank,2024,7,131.62,99.35%,0.43%,0.22%,0.04%,
17,Indian Overseas Bank,2024,7,102.09,98.59%,1.13%,0.28%,0.23%,
18,Central Bank of India,2024,7,100.29,97.86%,1.86%,0.28%,0.12%,
19,UCO Bank,2024,7,90.28,98.56%,0.73%,0.71%,0.19%,
20,Fino Payments Bank,2024,7,76.94,96.50%,3.07%,0.43%,0.04%,
21,IDBI Bank,2024,7,69.43,99.22%,0.35%,0.43%,0.16%,
22,Bank of Maharashtra,2024,7,64.74,98.40%,0.39%,1.21%,0.32%,
23,RBL,2024,7,51.19,98.83%,0.58%,0.59%,0.15%,
24,Karnataka Bank,2024,7,50.14,98.72%,0.86%,0.41%,0.08%,
25,One Mobikwik Systems Limited,2024,7,40.24,99.90%,0.03%,0.07%,0.00%,
26,Karur Vysya Bank,2024,7,39.8,98.72%,1.05%,0.24%,0.08%,
27,IDFC First Bank,2024,7,38.86,98.58%,1.28%,0.14%,0.05%,
28,Bandhan Bank,2024,7,37.36,98.39%,0.36%,1.25%,0.03%,
29,Jammu and Kashmir Bank,2024,7,36.14,96.47%,0.28%,3.25%,0.50%,
30,South Indian Bank,2024,7,35.99,98.76%,0.96%,0.27%,0.06%,
31,AU Small Finance Bank,2024,7,27.37,99.10%,0.82%,0.08%,0.03%,
32,Tamilnad Mercantile Bank,2024,7,27.15,99.27%,0.10%,0.63%,0.15%,
33,Tri O Tech Solutions Private Limited,2024,7,25.53,96.21%,3.75%,0.03%,0.00%,
34,City Union Bank,2024,7,22.9,98.08%,1.61%,0.31%,0.05%,
35,Ujjivan Small Finance Bank,2024,7,22.88,98.57%,0.70%,0.74%,0.29%,
36,Punjab and Sind Bank,2024,7,18.6,99.20%,0.25%,0.55%,0.09%,
37,CITI Bank,2024,7,17.74,97.85%,1.49%,0.66%,0.13%,
38,Kerala Gramin Bank,2024,7,17.02,97.75%,0.85%,1.39%,0.57%,
39,Cosmos Bank,2024,7,15.36,98.92%,0.16%,0.92%,0.09%,
40,Equitas Bank,2024,7,14.09,97.83%,1.65%,0.52%,0.08%,
41,Karnataka Gramin Bank,2024,7,13.72,97.20%,0.91%,1.89%,1.07%,
42,Andhra Pradesh Grameena Vikas Bank,2024,7,13.16,95.15%,0.70%,4.14%,0.10%,
43,Maharashtra Gramin Bank,2024,7,12.26,85.13%,0.18%,14.68%,0.49%,
44,Baroda U.P. Bank,2024,7,11.74,94.84%,0.30%,4.86%,1.72%,
45,Jio Payments Bank,2024,7,11.6,98.37%,0.83%,0.80%,0.23%,
46,Rajasthan Marudhara Gramin Bank,2024,7,11.6,87.43%,0.42%,12.15%,0.69%,
47,ESAF Small Finance Bank Ltd,2024,7,11.35,98.70%,1.06%,0.25%,0.15%,
48,DBS Bank,2024,7,10.79,98.42%,1.33%,0.24%,0.01%,
49,Andhra Pragathi Grameena Bank,2024,7,9.58,87.24%,0.39%,12.37%,0.08%,
50,Fincare Small Finance Bank,2024,7,9.16,95.02%,4.32%,0.65%,0.02%,
1,Paytm Payments Bank,2022,6,1370.06,99.66%,0.32%,0.03%,0.00%,
2,State Bank of India,2022,6,764.66,95.87%,0.29%,3.64%,0.21%,
3,YES Bank,2022,6,731.88,99.90%,0.04%,0.03%,0.03%,
4,Axis Bank,2022,6,483.14,99.20%,0.15%,0.54%,0.11%,
5,ICICI Bank,2022,6,414.15,99.46%,0.41%,0.10%,0.03%,
6,HDFC Bank,2022,6,302.98,99.28%,0.66%,0.04%,0.02%,
7,Bank of Baroda,2022,6,202.6,98.92%,0.37%,0.27%,0.44%,
8,Union Bank of India,2022,6,197.7,98.57%,0.28%,0.91%,0.24%,
9,Canara Bank,2022,6,148.36,98.97%,0.52%,0.41%,0.10%,
10,Punjab National Bank,2022,6,142.4,98.66%,0.52%,0.61%,0.21%,
11,Federal Bank,2022,6,122.19,99.29%,0.28%,0.42%,0.01%,
12,Kotak Mahindra Bank,2022,6,120.07,99.02%,0.60%,0.23%,0.15%,
13,Bank of India,2022,6,116.98,99.52%,0.27%,0.18%,0.03%,
14,Indian Bank,2022,6,79.66,99.23%,0.23%,0.50%,0.05%,
15,Airtel Payments Bank,2022,6,66.91,98.66%,0.37%,0.68%,0.29%,
16,IndusInd Bank,2022,6,63.0,98.64%,0.68%,0.47%,0.21%,
17,Central Bank of India,2022,6,59.63,95.05%,0.68%,3.37%,0.90%,
18,IDBI Bank,2022,6,45.27,98.91%,0.64%,0.38%,0.08%,
19,Indian Overseas Bank,2022,6,43.21,99.02%,0.30%,0.33%,0.34%,
20,UCO Bank,2022,6,37.03,98.92%,0.48%,0.40%,0.20%,
21,Bank of Maharashtra,2022,6,35.99,98.55%,0.25%,0.93%,0.27%,
22,India Post Payment Bank,2022,6,34.23,92.43%,0.59%,6.57%,0.41%,
23,Karnataka Bank,2022,6,28.66,91.84%,0.59%,6.09%,1.48%,
24,IDFC First Bank,2022,6,25.28,95.44%,1.43%,2.61%,0.51%,
25,Karur Vysya Bank,2022,6,23.1,98.33%,0.34%,1.29%,0.04%,
26,South Indian Bank,2022,6,17.51,98.61%,0.41%,0.95%,0.02%,
27,Bandhan Bank,2022,6,16.73,98.24%,0.51%,1.12%,0.12%,
28,Fino Payments Bank,2022,6,13.59,93.98%,2.35%,3.39%,0.28%,
29,AU Small Finance Bank,2022,6,12.92,97.85%,1.58%,0.44%,0.13%,
30,CITI Bank,2022,6,12.15,99.28%,0.50%,0.22%,0.00%,
31,City Union Bank,2022,6,11.47,98.36%,0.73%,0.89%,0.02%,
32,Equitas Bank,2022,6,9.94,92.75%,3.10%,3.79%,0.36%,
33,Tamilnad Mercantile Bank,2022,6,9.88,99.51%,0.24%,0.15%,0.10%,
34,Ujjivan Small Finance Bank,2022,6,9.41,88.59%,0.29%,9.69%,1.43%,
35,Pragathi Krishna Gramin Bank,2022,6,8.27,97.73%,0.32%,1.35%,0.60%,
36,Andhra Pradesh Grameena Vikas Bank,2022,6,7.71,80.24%,9.19%,8.62%,1.95%,
37,Punjab and Sind Bank,2022,6,7.62,97.81%,0.30%,1.75%,0.14%,
38,Maharashtra Gramin Bank,2022,6,6.99,85.10%,9.54%,5.06%,0.30%,
39,DBS Bank,2022,6,6.61,98.10%,1.73%,0.11%,0.06%,
40,Jammu and Kashmir Bank,2022,6,6.36,91.75%,2.56%,5.40%,0.29%,
41,Kerala Gramin Bank,2022,6,6.12,98.67%,0.42%,0.62%,0.29%,
42,Saraswat Bank,2022,6,5.52,98.76%,0.18%,0.99%,0.07%,
43,ESAF Small Finance Bank Ltd,2022,6,5.32,97.79%,0.25%,1.62%,0.34%,
44,RBL,2022,6,5.22,97.67%,1.44%,0.83%,0.06%,
45,Rajasthan Marudhara Gramin Bank,2022,6,5.21,85.56%,4.92%,7.83%,1.68%,
46,Andhra Pragathi Grameena Bank,2022,6,5.17,88.19%,5.00%,5.27%,1.53%,
47,Sarva Haryana Gramin Bank,2022,6,4.66,78.69%,0.47%,19.77%,1.07%,
48,Baroda U.P. Bank,2022,6,4.29,88.20%,3.24%,7.48%,1.08%,
49,Baroda Rajasthan Kshetriya Gramin Bank,2022,6,4.0,88.74%,2.01%,8.05%,1.20%,
50,Karnataka Vikas Grameena Bank,2022,6,3.65,94.99%,2.99%,1.98%,0.04%,
1,Paytm Payments Bank,2023,6,2177.68,99.79%,0.20%,0.01%,0.00%,
2,YES Bank,2023,6,1735.59,99.96%,0.02%,0.02%,0.00%,
3,State Bank of India,2023,6,1017.11,99.66%,0.19%,0.13%,0.02%,
4,Axis Bank,2023,6,644.25,99.76%,0.11%,0.08%,0.04%,
5,ICICI Bank,2023,6,591.75,98.72%,0.25%,0.76%,0.27%,
6,HDFC Bank,2023,6,479.17,99.41%,0.48%,0.07%,0.04%,
7,Bank of Baroda,2023,6,274.76,99.64%,0.16%,0.12%,0.08%,
8,Union Bank of India,2023,6,267.39,99.77%,0.16%,0.06%,0.02%,
9,Federal Bank,2023,6,213.89,99.12%,0.23%,0.60%,0.05%,
10,Punjab National Bank,2023,6,211.61,99.14%,0.39%,0.28%,0.19%,
11,Canara Bank,2023,6,209.8,98.64%,0.43%,0.64%,0.29%,
12,Kotak Mahindra Bank,2023,6,187.61,97.12%,0.41%,1.47%,1.00%,
13,Bank of India,2023,6,148.54,99.60%,0.24%,0.11%,0.05%,
14,Indian Bank,2023,6,131.25,99.46%,0.24%,0.29%,0.00%,
15,Airtel Payments Bank,2023,6,116.09,98.12%,0.41%,1.13%,0.34%,
16,IndusInd Bank,2023,6,94.66,99.06%,0.21%,0.50%,0.24%,
17,Central Bank of India,2023,6,73.76,96.15%,0.61%,2.43%,0.81%,
18,India Post Payment Bank,2023,6,74.36,90.31%,0.55%,8.45%,0.68%,
19,Indian Overseas Bank,2023,6,59.1,98.95%,0.37%,0.39%,0.30%,
20,UCO Bank,2023,6,54.91,95.38%,0.70%,3.43%,0.49%,
21,IDBI Bank,2023,6,52.3,99.00%,0.40%,0.42%,0.17%,
22,IDFC First Bank,2023,6,41.95,98.48%,0.99%,0.39%,0.14%,
23,Bank of Maharashtra,2023,6,41.63,98.91%,0.24%,0.66%,0.19%,
24,Karnataka Bank,2023,6,34.46,97.41%,1.02%,1.56%,0.01%,
25,Fino Payments Bank,2023,6,29.84,98.31%,0.59%,1.06%,0.04%,
26,Karur Vysya Bank,2023,6,26.95,99.47%,0.47%,0.06%,0.00%,
27,South Indian Bank,2023,6,24.87,99.79%,0.20%,0.01%,0.00%,
28,Bandhan Bank,2023,6,23.77,97.62%,0.48%,1.51%,0.39%,
29,AU Small Finance Bank,2023,6,18.9,97.84%,1.03%,0.71%,0.42%,
30,Tamilnad Mercantile Bank,2023,6,15.01,99.74%,0.17%,0.07%,0.02%,
31,City Union Bank,2023,6,15.13,98.58%,0.78%,0.56%,0.08%,
32,Ujjivan Small Finance Bank,2023,6,14.42,99.25%,0.31%,0.31%,0.13%,
33,Jammu and Kashmir Bank,2023,6,13.75,97.11%,0.34%,2.25%,0.31%,
34,Equitas Bank,2023,6,11.38,97.57%,2.21%,0.21%,0.01%,
35,Punjab and Sind Bank,2023,6,10.97,97.58%,0.19%,1.90%,0.34%,
36,RBL,2023,6,19.83,98.69%,0.56%,0.69%,0.06%,
37,Kerala Gramin Bank,2023,6,10.3,98.62%,0.20%,0.80%,0.38%,
38,Pragathi Krishna Gramin Bank,2023,6,10.09,97.81%,0.38%,1.11%,0.70%,
39,CITI Bank,2023,6,11.91,99.76%,0.00%,0.14%,0.10%,
40,Andhra Pradesh Grameena Vikas Bank,2023,6,9.79,93.82%,0.29%,5.40%,0.49%,
41,DBS Bank,2023,6,9.16,98.36%,1.40%,0.12%,0.12%,
42,Maharashtra Gramin Bank,2023,6,8.58,94.04%,0.38%,5.15%,0.44%,
43,ESAF Small Finance Bank Ltd,2023,6,7.75,98.26%,0.12%,1.47%,0.15%,
44,Baroda U.P. Bank,2023,6,7.56,94.84%,1.03%,3.26%,0.87%,
45,Rajasthan Marudhara Gramin Bank,2023,6,7.36,96.52%,0.36%,2.49%,0.63%,
46,Tri O Tech Solutions Private Limited,2023,6,7.47,93.15%,6.60%,0.23%,0.03%,
47,Jio Payments Bank,2023,6,6.5,99.17%,0.43%,0.15%,0.25%,
48,Saraswat Bank,2023,6,6.35,98.28%,0.19%,1.07%,0.46%,
49,Sarva Haryana Gramin Bank,2023,6,5.86,96.97%,0.45%,2.24%,0.34%,
50,Andhra Pragathi Grameena Bank,2023,6,6.09,92.97%,2.70%,4.10%,0.23%,
1,YES Bank,2024,6,5523.03,99.98%,0.02%,0.00%,0.00%,
2,State Bank of India,2024,6,1549.25,99.76%,0.10%,0.14%,0.05%,
3,Axis Bank,2024,6,1025.59,99.88%,0.12%,0.00%,0.02%,
4,HDFC Bank,2024,6,653.68,98.79%,1.06%,0.15%,0.05%,
5,ICICI Bank,2024,6,624.6,99.50%,0.48%,0.02%,0.02%,
6,Bank of Baroda,2024,6,400.13,99.78%,0.08%,0.14%,0.17%,
7,Federal Bank,2024,6,383.4,99.75%,0.23%,0.03%,0.00%,
8,Union Bank of India,2024,6,351.85,99.72%,0.11%,0.17%,0.10%,
9,Punjab National Bank,2024,6,324.58,99.40%,0.27%,0.34%,0.11%,
10,Canara Bank,2024,6,301.47,98.70%,0.94%,0.36%,0.15%,
11,Kotak Mahindra Bank,2024,6,275.04,99.39%,0.30%,0.31%,0.29%,
12,Airtel Payments Bank,2024,6,251.18,98.94%,0.34%,0.72%,0.15%,
13,Indian Bank,2024,6,224.43,99.08%,0.73%,0.19%,0.24%,
14,Bank of India,2024,6,202.39,99.03%,0.74%,0.23%,0.19%,
15,India Post Payment Bank,2024,6,137.69,98.92%,0.28%,0.80%,0.17%,
16,IndusInd Bank,2024,6,124.07,99.11%,0.53%,0.37%,0.26%,
17,Central Bank of India,2024,6,93.75,97.52%,1.46%,1.02%,0.37%,
18,Indian Overseas Bank,2024,6,93.03,98.65%,0.52%,0.82%,0.38%,
19,UCO Bank,2024,6,87.05,99.14%,0.66%,0.20%,0.10%,
20,Fino Payments Bank,2024,6,73.74,96.29%,3.29%,0.43%,0.07%,
21,IDBI Bank,2024,6,66.26,99.24%,0.36%,0.40%,0.17%,
22,Bank of Maharashtra,2024,6,60.84,98.97%,0.32%,0.71%,0.16%,
23,Karnataka Bank,2024,6,47.71,98.50%,1.13%,0.37%,0.11%,
24,Karur Vysya Bank,2024,6,36.29,98.24%,1.11%,0.65%,0.07%,
25,RBL,2024,6,36.15,98.79%,0.90%,0.31%,0.17%,
26,IDFC First Bank,2024,6,35.42,98.75%,1.21%,0.04%,0.02%,
